transaction_id,customer_id,product_id,quantity,transaction_date
1,859,55,1,2021-05-01
2,386,509,9,2022-12-25
3,321,898,7,2023-01-20
4,820,297,2,2021-04-21
5,615,813,9,2022-07-18
6,496,223,10,2022-01-12
7,321,168,4,2021-05-04
8,903,944,4,2022-10-03
9,433,922,2,2021-04-07
10,134,392,5,2021-04-19
11,517,375,7,2021-05-30
12,474,607,4,2021-06-19
13,773,181,3,2022-09-15
14,500,973,10,2022-02-09
15,426,648,5,2021-10-14
16,331,621,4,2021-09-13
17,885,994,5,2021-05-27
18,697,402,5,2021-03-28
19,976,223,10,2022-03-24
20,197,334,7,2023-03-22
21,227,763,7,2022-06-23
22,70,117,8,2022-03-11
23,308,135,7,2023-03-03
24,370,567,2,2022-12-23
25,72,521,7,2022-09-15
26,362,706,4,2022-11-11
27,504,824,4,2021-06-23
28,127,682,5,2021-05-25
29,447,559,3,2022-03-24
30,993,811,6,2022-09-16
31,535,400,3,2022-12-31
32,325,616,9,2023-02-17
33,736,951,6,2022-06-19
34,976,422,7,2022-05-15
35,32,978,8,2022-08-11
36,466,371,3,2021-09-01
37,188,612,2,2022-04-05
38,369,273,2,2022-07-04
39,34,98,7,2023-01-19
40,483,717,4,2021-03-27
41,863,159,10,2021-12-18
42,277,946,3,2022-03-30
43,141,913,1,2021-10-07
44,659,722,5,2021-07-26
45,111,467,7,2022-10-27
46,762,492,5,2022-03-31
47,895,843,10,2021-09-21
48,903,77,1,2022-06-06
49,579,224,6,2022-07-26
50,802,95,9,2021-07-08
51,446,37,2,2022-09-14
52,862,14,1,2021-10-01
53,546,751,3,2021-07-16
54,747,220,8,2022-10-10
55,248,554,4,2021-12-03
56,206,443,7,2022-08-30
57,183,789,1,2021-07-23
58,171,508,10,2021-06-02
59,960,974,7,2021-06-17
60,185,459,1,2021-10-20
61,142,742,9,2021-12-31
62,823,340,9,2022-08-26
63,99,375,7,2022-06-14
64,403,828,2,2022-06-05
65,125,632,5,2022-12-19
66,330,845,1,2021-05-06
67,388,217,7,2021-07-25
68,521,995,10,2021-12-13
69,685,3,1,2022-02-06
70,217,281,6,2022-07-18
71,509,252,9,2022-04-30
72,818,242,6,2021-07-29
73,78,299,1,2022-10-23
74,52,811,6,2021-12-20
75,240,85,5,2023-03-15
76,492,127,9,2021-04-24
77,182,478,1,2021-05-21
78,660,190,8,2022-01-08
79,433,664,10,2022-03-23
80,267,996,8,2021-09-15
81,362,170,7,2022-09-14
82,577,250,3,2021-12-20
83,80,545,10,2022-08-18
84,275,665,6,2021-11-02
85,128,145,7,2021-08-11
86,251,172,7,2021-04-15
87,575,497,1,2021-09-21
88,779,773,7,2022-07-05
89,873,135,5,2023-02-18
90,542,645,1,2022-03-26
91,636,578,7,2022-10-22
92,941,587,3,2022-04-19
93,308,109,1,2021-10-13
94,695,819,2,2022-10-15
95,127,738,1,2022-03-27
96,818,508,5,2021-10-05
97,797,769,9,2022-01-22
98,688,864,5,2023-01-15
99,986,609,4,2023-03-05
100,376,656,9,2021-10-14
101,430,309,7,2021-09-06
102,697,946,4,2021-04-13
103,287,456,7,2022-05-31
104,956,520,9,2021-05-20
105,833,444,1,2021-07-15
106,505,293,3,2022-08-11
107,503,372,2,2022-06-21
108,738,129,3,2022-04-03
109,228,943,8,2021-07-02
110,150,979,5,2021-12-21
111,618,376,4,2021-11-06
112,841,473,4,2023-01-23
113,238,639,9,2022-03-09
114,15,887,9,2022-12-05
115,464,91,10,2023-03-16
116,240,943,3,2021-08-25
117,49,739,8,2022-01-26
118,392,367,4,2023-02-04
119,517,822,7,2021-09-22
120,660,261,2,2021-10-09
121,602,361,10,2021-05-18
122,909,355,1,2021-08-30
123,277,684,8,2022-03-20
124,452,755,9,2023-01-11
125,899,73,6,2022-08-12
126,648,311,3,2022-12-27
127,381,920,10,2022-10-07
128,175,551,9,2021-04-26
129,755,163,5,2023-01-07
130,1000,163,4,2022-10-05
131,737,390,5,2022-12-08
132,160,709,10,2022-09-25
133,741,43,9,2021-09-03
134,645,491,8,2023-02-24
135,139,821,5,2022-02-06
136,237,745,3,2023-01-01
137,472,231,4,2022-08-31
138,962,997,5,2022-09-10
139,530,78,7,2023-01-14
140,470,931,8,2022-03-02
141,990,29,7,2021-05-10
142,203,758,5,2022-01-30
143,306,964,1,2023-03-22
144,429,29,7,2022-06-17
